division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
524,1991.580811,1992.082153,Y,15-49,Other,MW,0.241,NA,0.241,NA,0.277,N,NA,N,,Y,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,13,Y_558
478,1990,1991.997314,Y,15-49,Other,MW,0.013,0.028,NA,0.028,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,37,Y_574
694,2005.747925,2005.912354,Y,15-49,MICS,MW,0.048808239,0.003727916,NA,0.003727916,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.003895723,8.06715e-4,0,0.083366127,0.217676249,NA,41,Y_577
686,1978.30957,1978.827393,Y,15-49,Other,MW,0.006,0.033,NA,0.033,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,44,Y_580
586,1975.328735,1975.997314,Y,15-49,Other,MW,0.039,0.015,NA,0.015,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,129,Y_603
854,2006.238403,2006.449341,Y,15-49,MICS,MW,0.133,0.031418058,NA,0.031418058,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.011907709,0.00598999,0,0.103072659,0.208926326,NA,136,Y_606
586,1998,2000,Y,15-49,Other,MW,NA,NA,0.17,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,152,Y_617
586,1995,1997,Y,15-49,Other,MW,NA,NA,0.13,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,153,Y_618
4,1972,1974.997314,Y,15-49,National survey,EM,0.016,NA,0.016,NA,NA,N,NA,N,,N,NA,?,None,N,NA,N,NA,NA,NA,NA,NA,NA,160,Y_622
50,1989.161621,1989.49585,Y,15-49,National survey,MW,0.245,0.07,NA,0.07,NA,N,NA,N,,N,NA,?,None,N,NA,N,NA,NA,NA,NA,NA,NA,161,Y_623
