division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
508,2003.580811,2004.082153,N,15-49,DHS,UW,0.235757935,0.022195622,NA,NA,0.111930282,N,NA,N,,N,NA,None,None,N,NA,N,0.007829248,0.001557111,0.004298966,0.06142479,0.124619429,0.086930946,1758,N_123
508,1997.161621,1997.578125,N,15-49,DHS,UW,0.06204506,0.010633776,NA,NA,0.147198495,N,NA,N,,N,NA,None,None,N,NA,N,0.007646671,0.002076504,0.010028531,0.149237662,0.318937229,0.109211457,1767,N_131
508,2008.583618,2008.915039,N,15-49,MICS,UW,0.173221406,0.006723769,NA,0.006723769,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.006090456,0.001234829,0,0.057814582,0.247567444,NA,4871,N_319
508,2011.413696,2011.912354,N,15-49,DHS,UW,0.136514002,0.001527162,NA,NA,0.141055276,N,NA,N,,N,NA,None,None,N,NA,N,0.004942611,4.199e-4,0.005000523,0.058153703,0.32472968,0.051314646,5064,N_369
508,2015.328735,2015.830078,N,15-49,DHS,UW,0.264770213,0.015057447,NA,NA,0.107412766,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5794,N_463
508,2003.580811,2004.082153,Y,15-49,DHS,MW,0.20783134,0.047373969,NA,NA,0.188965256,N,NA,N,,N,NA,None,None,N,NA,N,0.007720315,0.0035055109999999998,0.00635479,0.047682395,0.079244934,0.043601137,1758,Y_857
508,1997.161621,1997.578125,Y,15-49,DHS,MW,0.050730058,0.005425149,NA,NA,0.249109235,N,NA,N,,N,NA,None,None,N,NA,N,0.007290156,0.001385674,0.010586623,0.151861676,0.259233791,0.058058029,1767,Y_865
508,2008.583618,2008.915039,Y,15-49,MICS,MW,0.146512124,0.015407306,NA,0.015407306,NA,N,NA,N,,N,NA,None,None,N,NA,Y,0.005957066,0.002062867,0,0.048549233,0.138083457,NA,4871,Y_1339
508,2011.413696,2011.912354,Y,15-49,DHS,MW,0.113375534,0.002969969,NA,NA,0.238955899,N,NA,N,,N,NA,None,None,N,NA,N,0.004777867,5.93903e-4,0.00606519,0.047577623,0.200907076,0.034308753,5064,Y_1424
508,2015.328735,2015.830078,Y,15-49,DHS,MW,0.253,0.018,NA,NA,0.231,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,5794,Y_1653
508,2009.444,2009.789,Y,15-49,National survey,MW,0.104,0.011,0.116,NA,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,NA,
